,,,Wall time,Step,Value
1588888867.62977,2268,361.001983642578,,,
1588889507.72215,2287,353.309783935547,,,
1588890047.03974,2303,356.894958496094,,,
1588890384.25308,2313,361.396514892578,,,
1588890789.36499,2325,360.396026611328,,,
1588891666.38962,2351,330.09521484375,,,
1588891970.33456,2360,371.824829101562,,,
1588893152.49738,2395,363.550018310547,,,
1588893186.24425,2396,353.64013671875,,,
1588893253.9037,2398,355.249359130859,,,
1588894674.62901,2442,370.820434570312,,,
1588894944.63199,2450,361.796295166016,,,
1588895248.62727,2459,366.323608398437,,,
1588895316.0965,2461,374.493499755859,,,
1588895485.01146,2466,368.376007080078,,,
1588896265.58711,2491,352.192199707031,,,
1588896266.65564,2492,1.61800503730774,,,
1588896604.45952,2502,364.092956542969,,,
1588896672.07568,2504,367.330139160156,,,
1588896841.03566,2509,371.835876464844,,,
1588897248.56823,2523,1.07328224182129,,,
1588897420.3989,2529,361.579986572266,,,
1588897724.59504,2538,354.001800537109,,,
1588898239.29046,2553,346.567840576172,,,
1588898458.50286,2559,361.301574707031,,,
1588900349.74571,2612,363.994354248047,,,
1588900969.9693,2629,366.889739990234,,,
1588903160.59599,2691,373.678619384766,,,
1588903330.19086,2696,355.77490234375,,,
1588903799.08614,2709,354.204559326172,,,
1588905152.91067,2746,369.216674804687,,,
1588905634.95869,2760,352.725341796875,,,
1588906745.07912,2795,370.674163818359,,,
1588909533.46687,2878,372.498931884766,,,
1588910144.22321,2896,359.970520019531,,,
1588910357.39445,2902,353.445983886719,,,
1588911221.51846,2926,349.095275878906,,,
1588912736.77865,2973,359.692199707031,,,
1588913004.83794,2981,360.205291748047,,,
1588914273.41369,3017,350.189544677734,,,
1588914893.31283,3033,343.724456787109,,,
1588914996.28408,3036,366.787322998047,,,
1588915287.95329,3044,362.720520019531,,,
1588915399.83196,3047,346.153778076172,,,
1588916425.91363,3075,353.506500244141,,,
1588917539.17493,3105,358.605895996094,,,
1588919523.6531,3161,362.00439453125,,,
1588919756.0322,3167,367.0625,,,
1588920317.84651,3183,358.398010253906,,,
1588920930.81259,3201,350.653625488281,,,
1588920965.55663,3202,362.414398193359,,,
1588922203.43668,3236,356.580017089844,,,
1588922558.2103,3246,364.026214599609,,,
1588922659.88785,3249,317.865539550781,,,
1588922671.32852,3250,82.1699676513672,,,
1588922742.71586,3252,354.169738769531,,,
1588922778.5127,3253,368.661468505859,,,
1588923674.79676,3278,355.430267333984,,,
1588924788.40336,3311,352.028656005859,,,
1588926217.89591,3351,350.039947509766,,,
1588927361.76404,3382,346.207580566406,,,
1588928347.98417,3409,353.302398681641,,,
1588928524.65213,3414,355.309234619141,,,
1588929315.38645,3436,351.043762207031,,,
1588930014.49069,3455,346.241088867187,,,
1588930556.29223,3470,356.327301025391,,,
1588931119.67703,3486,356.75830078125,,,
1588932103.82926,3515,351.236022949219,,,
1588932203.84276,3518,364.510833740234,,,
1588933037.59843,3543,357.051483154297,,,
1588934472.07826,3586,354.799133300781,,,
